NACE,Industrial Ecosystem,Horizontal code or not,NACE (Level 2),TIME_PERIOD,geo,Value added weight,Industrial Ecosystem&NACE&Horizontal code or not,Horizontal NACE code,Turnover weight,Persons employed weight,Employees in FTEs weight,Amount of Enterprises weight
M71,Construction,TRUE,M71,2014,AT,0.006447447,ConstructionC25TRUE,C25,0.006447447,0.006447447,0.006447447,0.006447447
N81,Construction,TRUE,N81,2014,AT,0.000609226,ConstructionC25TRUE,C25,0.000609226,0.000609226,0.000609226,0.000609226
C31,Construction,TRUE,C31,2015,AT,0.00459324,ConstructionC25TRUE,C25,0.00459324,0.00459324,0.00459324,0.00459324
F41,Construction,TRUE,F41,2015,AT,0.034693676,ConstructionC25TRUE,C25,0.034693676,0.034693676,0.034693676,0.034693676
F42,Construction,TRUE,F42,2015,AT,0.021164917,ConstructionC25TRUE,C25,0.021164917,0.021164917,0.021164917,0.021164917
F43,Construction,TRUE,F43,2015,AT,0.087955306,ConstructionC25TRUE,C25,0.087955306,0.087955306,0.087955306,0.087955306
M71,Construction,TRUE,M71,2015,AT,0.008417026,ConstructionC25TRUE,C25,0.008417026,0.008417026,0.008417026,0.008417026
N81,Construction,TRUE,N81,2015,AT,0.000774088,ConstructionC25TRUE,C25,0.000774088,0.000774088,0.000774088,0.000774088
C31,Construction,TRUE,C31,2016,AT,0.007563339,ConstructionC25TRUE,C25,0.007563339,0.007563339,0.007563339,0.007563339
F41,Construction,TRUE,F41,2016,AT,0.032047576,ConstructionC25TRUE,C25,0.032047576,0.032047576,0.032047576,0.032047576
F42,Construction,TRUE,F42,2016,AT,0.017436123,ConstructionC25TRUE,C25,0.017436123,0.017436123,0.017436123,0.017436123
F43,Construction,TRUE,F43,2016,AT,0.077264231,ConstructionC25TRUE,C25,0.077264231,0.077264231,0.077264231,0.077264231
M71,Construction,TRUE,M71,2016,AT,0.008687514,ConstructionC25TRUE,C25,0.008687514,0.008687514,0.008687514,0.008687514
N81,Construction,TRUE,N81,2016,AT,0.000729972,ConstructionC25TRUE,C25,0.000729972,0.000729972,0.000729972,0.000729972
C31,Construction,TRUE,C31,2017,AT,0.006927169,ConstructionC25TRUE,C25,0.006927169,0.006927169,0.006927169,0.006927169
F41,Construction,TRUE,F41,2017,AT,0.03434331,ConstructionC25TRUE,C25,0.03434331,0.03434331,0.03434331,0.03434331
F42,Construction,TRUE,F42,2017,AT,0.019891347,ConstructionC25TRUE,C25,0.019891347,0.019891347,0.019891347,0.019891347
F43,Construction,TRUE,F43,2017,AT,0.080555843,ConstructionC25TRUE,C25,0.080555843,0.080555843,0.080555843,0.080555843
M71,Construction,TRUE,M71,2017,AT,0.007082366,ConstructionC25TRUE,C25,0.007082366,0.007082366,0.007082366,0.007082366
N81,Construction,TRUE,N81,2017,AT,0.000665831,ConstructionC25TRUE,C25,0.000665831,0.000665831,0.000665831,0.000665831
C31,Construction,TRUE,C31,2018,AT,0.005563147,ConstructionC25TRUE,C25,0.005563147,0.005563147,0.005563147,0.005563147
F41,Construction,TRUE,F41,2018,AT,0.034374209,ConstructionC25TRUE,C25,0.034374209,0.034374209,0.034374209,0.034374209
F42,Construction,TRUE,F42,2018,AT,0.018345958,ConstructionC25TRUE,C25,0.018345958,0.018345958,0.018345958,0.018345958
F43,Construction,TRUE,F43,2018,AT,0.075819387,ConstructionC25TRUE,C25,0.075819387,0.075819387,0.075819387,0.075819387
M71,Construction,TRUE,M71,2018,AT,0.006283325,ConstructionC25TRUE,C25,0.006283325,0.006283325,0.006283325,0.006283325
N81,Construction,TRUE,N81,2018,AT,0.000578299,ConstructionC25TRUE,C25,0.000578299,0.000578299,0.000578299,0.000578299
C31,Construction,TRUE,C31,2019,AT,0.005486468,ConstructionC25TRUE,C25,0.005486468,0.005486468,0.005486468,0.005486468
F41,Construction,TRUE,F41,2019,AT,0.035044105,ConstructionC25TRUE,C25,0.035044105,0.035044105,0.035044105,0.035044105
F42,Construction,TRUE,F42,2019,AT,0.018669546,ConstructionC25TRUE,C25,0.018669546,0.018669546,0.018669546,0.018669546
F43,Construction,TRUE,F43,2019,AT,0.077183125,ConstructionC25TRUE,C25,0.077183125,0.077183125,0.077183125,0.077183125
M71,Construction,TRUE,M71,2019,AT,0.007222445,ConstructionC25TRUE,C25,0.007222445,0.007222445,0.007222445,0.007222445
N81,Construction,TRUE,N81,2019,AT,0.000663452,ConstructionC25TRUE,C25,0.000663452,0.000663452,0.000663452,0.000663452
